Missing data from input file BMR_Neestimator_062421.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_BMR_017]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
     737            3             0000            21
     738            3             0000            83
     739            3             0000            26
     740            3             0000           184
     741            3             0000            35
     742            3             0000            12
     743          756             0000            11
     744            3             0000           730
     745          176             0000            14
     746            3             0000            17
     747            3             0000            19
     748            3             0000           959
     749            2             0000          1362
     750            3             0000           126
     751          218             0000             9
     752          923             0000            16
     753            3             0000            33
     754          117             0000            13
     755           14             0000            18
     756          218             0000            14
     757            3             0000            69
     758            3             0000            78
     759            3             0000            55
     760            3             0000            54
     761            3             0000            62
     762           79             0000            59
     763          422             0000            15
     764            3             0000            55
     765            2             0000          1594
     766            3             0000           333
     767            3             0000            49
     768           38             0000            18
     769            3             0000            40
     770            3             0000            91
     771            3             0000            36
     772            3             0000            61
     773            3             0000           160
     774            2             0000           829
     775            3             0000            37
     776            3             0000            42
     777           12             0000            17
     778          218             0000            25
     779          320             0000             9
     780            3             0000            87
     781            2             0000           277
     782            3             0000            19
     783            3             0000            44
     784            3             0000            44
     785            3             0000            23
     786            3             0000            79
     787           38             0000            16
     788            2             0000          1555
     789            3             0000           508
     790            3             0000            34
     791            3             0000            73
     792            3             0000            61
     793          217             0000            21
     794          217             0000            13
     795           46             0000            14
     796            3             0000            36
     797            2             0000           496
     798          245             0000             7
     799          148             0000            14
     800            3             0000            41
     801            3             0000           154
     802            3             0000            37
     803          218             0000            12
     804            3             0000            51
     805            3             0000           257
     806            3             0000           102
     807            3             0000            61
     808            3             0000           254
     809            3             0000            21
     810            3             0000            85
     811            3             0000            27
     812           79             0000            34
     813            3             0000            60
     814            3             0000           169
     815            3             0000            47
     816            3             0000          1099
     817            3             0000            59
     818            3             0000            34
     819           51             0000            21
     820            2             0000           765
     821          217             0000             8
     822            3             0000            73
     823            3             0000            30
     824          218             0000            11
     825          218             0000            16
     826          172             0000            16
     827            3             0000            40
     828          218             0000            16
     829            2             0000          1188
     830          756             0000             8
     831            3             0000            20
     832            3             0000            12
     833            3             0000            15
     834          756             0000            12
     835          218             0000            13
     836            3             0000           165
     837           79             0000            13
     838          117             0000            20
     839            3             0000            37
     840            3             0000            99
     841            3             0000            52
     842           52             0000            19
     843            3             0000            54
     844            3             0000           324
     845            3             0000            90
     846           38             0000            18
     847            3             0000            26
     848            3             0000            39
     849           46             0000            60
     850            3             0000            37
     851            3             0000           110
     852           79             0000            23
     853         1390             0000             7
     854            3             0000            26
     855            3             0000            56
     856          218             0000            15
     857            3             0000           122
     858            2             0000           533
     859            3             0000           402
     860            3             0000            90
     861           46             0000            18
     862            3             0000           163
     863          128             0000            11
     864            3             0000            92
     865           46             0000            15
     866            3             0000           139
     867            3             0000           189
     868           79             0000            26
     869          218             0000            15
     870            3             0000            36
     871            3             0000            72
     872            3             0000            25
     873          110             0000            31
     874            2             0000           302
     875           46             0000            48
     876           46             0000            76
     877            3             0000           100
     878           79             0000            12
     879            3             0000            68
     880            3             0000            38
     881            2             0000          2206
     882            2             0000           459
     883            3             0000            18
     884            3             0000            92
     885            3             0000            56
     886            3             0000            20
     887          137             0000            16
     888          117             0000            10
     889          203             0000            88
     890            3             0000           267
     891          217             0000            11
     892            3             0000            39
     893            3             0000            80
     894            3             0000            53
     895            3             0000            84
     896            3             0000            33
     897           46             0000            61
     898           15             0000            97
     899          218             0000            10
     900            3             0000            30
     901           46             0000            13
     902            3             0000            80
     903           79             0000            24
     904          217             0000            15
     905            3             0000            13
     906            3             0000           167
     907            3             0000            67
     908            3             0000            26
     909            3             0000            35
     910            3             0000            32
     911          218             0000            12
     912          217             0000            14
     913            3             0000           521
     914           46             0000            23
     915            3             0000            14
     916          218             0000            21
     917          497             0000             8
     918          217             0000            18
     919            3             0000            32
     920          369             0000            13
     921           79             0000            14
     922            3             0000           139
     923            3             0000            75
     924          218             0000             9
     925          218             0000            10
     926            3             0000            11
     927         1794             0000             5
     928           51             0000             9
     929          218             0000            24
     930            3             0000            22
     931          218             0000            10
     932           46             0000            53
     933            3             0000            50
     934            3             0000            36
     935          117             0000             9
     936            3             0000            16
     937            3             0000            43
     938            2             0000          1009
     939            3             0000           286
     940            3             0000            50
     941          218             0000            13
     942            3             0000            56
     943            3             0000           223
     944          218             0000             7
     945            3             0000             7
     946           38             0000            11
     947            3             0000           205
     948          218             0000            15
     949          218             0000            12
     950          982             0000             9
     951         1037             0000             4
     952            3             0000            25
     953           79             0000            12
     954            1             0000          2761
     955            3             0000           443
     956            3             0000           115
     957            3             0000            12
     958            3             0000            36
     959            3             0000            19
     960            3             0000            17
     961            3             0000            12
     962            3             0000            13
     963            2             0000          1398
     964            3             0000            21
     965          217             0000             9
     966           79             0000            15
     967            3             0000            49
     968            3             0000            13
     969            3             0000            47
     970            2             0000           586
     971            3             0000           116
     972            3             0000            17
     973          756             0000            11
     974           52             0000            12
     975            3             0000            40
     976            3             0000            55
     977            3             0000            45
     978            2             0000          1133
     979           79             0000            11
     980            3             0000            35
     981            3             0000            29
     982            1             0000          3084
     983           12             0000            18
     984            3             0000            11
     985            3             0000             7
     986            2             0000           580
     987           38             0000            10
     988           51             0000             8
     989            3             0000            21
     990            3             0000            35
     991            3             0000            38
     992            3             0000            10
     993          401             0000            10
     994          148             0000             5
     995         1390             0000            12
     996            3             0000             8
     997           79             0000             9
     998          756             0000            14
     999           79             0000            17
    1000            3             0000            64
    1001          148             0000             8
    1002            3             0000            25
    1003          210             0000             9
    1004          217             0000            11
    1005            3             0000            25
    1006            3             0000            17
    1007          117             0000            15
    1008            2             0000          2221
    1009            3             0000             9
    1010           46             0000            37
    1011          449             0000             8
    1012            3             0000            33
    1013            3             0000            15
    1014         1274             0000             2
    1015            3             0000            44
    1016          148             0000             8
    1017            1             0000          1480
    1018            3             0000            32
    1019          370             0000            12
    1020           38             0000             7
    1021           38             0000            10
    1022          117             0000            15
    1023          497             0000             8
    1024            3             0000            26
-----------------------------------------------------------
Total missing data for population    1:       107385

Population 2 [PM_BMR_002]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           38             0000            43
       2          218             0000            10
       3           79             0000            13
       4          218             0000            11
       5          218             0000            10
       6           12             0000            38
       7           12             0000            54
       8          756             0000            10
       9         1200             0000             5
      10          218             0000            13
      11            3             0000            62
      12            3             0000             7
      13          148             0000             9
      14         1320             0000             6
-----------------------------------------------------------
Total missing data for population    2:          291

Population 3 [PM_BMR_1055]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           79             0000            11
       2            2             0000          1629
       3            3             0000            15
       4          429             0000             9
       5            3             0000            14
       6            3             0000            17
       7          254             0000            12
       8           79             0000            37
       9            3             0000            22
      10            3             0000            15
      11            3             0000            27
      12            3             0000            10
      13           79             0000             7
      14           12             0000            11
      15            3             0000            10
      16          218             0000            28
      17           46             0000            15
      18            3             0000           129
      19          429             0000            13
      20           79             0000             9
      21            3             0000            24
      22            3             0000            11
      23            3             0000            28
      24            1             0000          1851
      25           79             0000            44
      26           80             0000            90
      27          429             0000             8
      28          217             0000             2
      29          217             0000            11
      30            3             0000            17
      31          218             0000            25
      32          429             0000             8
      33            1             0000          1648
      34            3             0000           196
-----------------------------------------------------------
Total missing data for population    3:         6003

