OffspringID	FatherID	MotherID	ClusterIndex
PM_BMR_521	6	9	1
PM_BMR_522	9	12	4
PM_BMR_523	6	9	1
PM_BMR_524	7	14	1
PM_BMR_525	12	13	1
PM_BMR_526	9	12	4
PM_BMR_527	12	15	1
PM_BMR_528	13	1	1
PM_BMR_529	9	12	4
PM_BMR_530	18	18	5
PM_BMR_531	18	18	5
PM_BMR_532	21	19	1
PM_BMR_533	4	12	4
PM_BMR_534	13	1	1
PM_BMR_535	14	16	1
PM_BMR_536	6	9	1
PM_BMR_537	6	9	1
PM_BMR_538	12	10	1
PM_BMR_539	12	13	1
PM_BMR_540	33	10	1
PM_BMR_541	18	18	5
PM_BMR_542	6	9	1
PM_BMR_543	19	11	1
PM_BMR_544	6	9	1
PM_BMR_545	19	11	1
PM_BMR_546	19	11	1
PM_BMR_547	12	23	1
PM_BMR_548	6	17	1
PM_BMR_549	4	12	4
PM_BMR_550	13	1	1
PM_BMR_551	12	15	1
PM_BMR_552	4	12	4
PM_BMR_553	23	1	1
PM_BMR_554	4	12	4
PM_BMR_555	13	1	1
PM_BMR_556	23	1	1
PM_BMR_557	16	12	4
PM_BMR_558	4	12	4
PM_BMR_559	23	1	1
PM_BMR_560	16	12	4
PM_BMR_561	13	1	1
PM_BMR_562	6	9	1
PM_BMR_563	13	1	1
PM_BMR_564	13	53	1
PM_BMR_565	19	11	1
PM_BMR_566	4	12	4
PM_BMR_567	4	12	4
PM_BMR_568	12	13	1
PM_BMR_569	19	11	1
PM_BMR_570	6	9	1
PM_BMR_571	14	21	1
PM_BMR_572	33	14	1
PM_BMR_573	5	23	1
PM_BMR_574	13	1	1
PM_BMR_575	12	15	1
PM_BMR_576	19	11	1
PM_BMR_577	12	13	1
PM_BMR_578	19	11	1
PM_BMR_579	13	1	1
PM_BMR_580	6	9	1
PM_BMR_581	5	23	1
PM_BMR_582	6	9	1
PM_BMR_583	6	9	1
PM_BMR_584	13	1	1
PM_BMR_585	13	1	1
